Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA single nuclei brain specificity	RNA single nuclei brain distribution	RNA single nuclei brain specificity score	RNA single nuclei brain specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	Secretome function	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Brain expression cluster	Cell line expression cluster	Single cell expression cluster	Interactions	Subcellular main location	Subcellular additional location	Antibody RRID	Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (validation)	Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (validation)	Cancer prognostics - Glioblastoma Multiforme (TCGA)	Cancer prognostics - Glioblastoma Multiforme (validation)	Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Chromophobe (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)	Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (validation)	Cancer prognostics - Lung Adenocarcinoma (TCGA)	Cancer prognostics - Lung Adenocarcinoma (validation)	Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Lung Squamous Cell Carcinoma (validation)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)	Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)	Cancer prognostics - Pancreatic Adenocarcinoma (validation)	Cancer prognostics - Prostate Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (validation)	Cancer prognostics - Skin Cuteneous Melanoma (TCGA)	Cancer prognostics - Stomach Adenocarcinoma (TCGA)	Cancer prognostics - Testicular Germ Cell Tumor (TCGA)	Cancer prognostics - Thyroid Carcinoma (TCGA)	Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
ANGPTL8	C19orf80, RIFL, TD26	ENSG00000130173	Angiopoietin like 8	Q6UXH0	19	11237450-11241943	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Lipid metabolism	Hormone	Diabetes mellitus	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	12	liver: 399.9	Cell type enriched	Detected in some	11	Hepatocytes: 124.8	Cell type enhanced	Detected in some		pericyte: 1.5	Cancer enriched	Detected in some	26	Liver Hepatocellular Carcinoma (TCGA): 155.2	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	11	liver cancer: 9.6	Minor Salivary Gland - Adipocytes (Minor salivary gland)	Not detected	Not detected			Not detected	Not detected			HPA042131			Approved	Nucleoplasm,Golgi apparatus	Secreted to blood	Hormone	NA	NA	836000	770000		Cluster 83: Liver - Metabolism	Cluster 47: Endothelial cells - Vasculature	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	1	Golgi apparatus	Nucleoplasm	HPA042131: AB_10794413						unprognostic (5.98e-2)					unprognostic (1.23e-5)	unprognostic (4.80e-2)	unprognostic (2.35e-1)	unprognostic (2.64e-1)												unprognostic (6.89e-2)					
APCS	MGC88159, PTX2, SAP	ENSG00000132703	Amyloid P component, serum	P02743	1	159587826-159588865	Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	76	liver: 3515.6	Cell type enriched	Detected in some	10	Hepatocytes: 4133.8	Not detected	Not detected			Cancer enriched	Detected in some	22	Liver Hepatocellular Carcinoma (TCGA): 978.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	10	liver cancer: 14.2	Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			CAB007817, HPA053294	Supported				Secreted to blood	No annotated function	NA	NA	27700000000	23000000000		Cluster 31: Liver - Plasma proteins		Cluster 7: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	9			CAB007817: AB_598185, HPA053294: AB_2682104											unprognostic (7.73e-2)	unprognostic (1.21e-1)	unprognostic (1.75e-2)	unprognostic (1.38e-2)	unprognostic (2.45e-5)							unprognostic (2.42e-2)	unprognostic (1.65e-5)								
APOA1		ENSG00000118137	Apolipoprotein A1	P02647	11	116835751-116837622	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport		Amyloidosis, Atherosclerosis, Cancer-related genes, Disease variant, Neuropathy	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	liver: 18779.1	Group enriched	Detected in many	13	"Hepatocytes: 24174.5;Proximal enterocytes: 12804.9"	Low cell type specificity	Detected in many			Cancer enriched	Detected in many	46	Liver Hepatocellular Carcinoma (TCGA): 8336.4	Low region specificity	Detected in some			Immune cell enhanced	Detected in single		plasmacytoid DC: 1.2	Low lineage specificity	Detected in single			Group enriched	Detected in some	14	"Gastric cancer: 176.6;liver cancer: 494.9"	Liver - Hepatocytes, Testis - Sertoli cells	Not detected	Not detected			Low region specificity	Detected in all			CAB016778, HPA046715	Supported		Approved	Vesicles,Cytosol	Secreted to blood	Apolipoprotein	NA	NA	1,45E+12	1,3E+11		Cluster 83: Liver - Metabolism	Cluster 34: Non-specific - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	47	Vesicles	Cytosol	CAB016778: , HPA046715: AB_2679768			unprognostic (1.71e-1)	unprognostic (2.89e-3)							unprognostic (2.16e-3)			unprognostic (1.77e-3)	unprognostic (1.23e-2)	unprognostic (4.42e-2)		unprognostic (1.27e-1)		unprognostic (2.66e-2)	unprognostic (4.26e-3)	unprognostic (7.48e-4)	unprognostic (8.56e-2)		unprognostic (1.58e-2)		unprognostic (1.66e-1)	unprognostic (8.08e-3)	unprognostic (1.30e-1)	unprognostic (2.31e-2)	unprognostic (3.68e-2)
APOA2		ENSG00000158874	Apolipoprotein A2	P02652	1	161222292-161223631	Cancer-related genes, Candidate cardiovascular disease genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Host-virus interaction, Lipid transport, Transport		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	1343	liver: 34742.6	Cell type enriched	Detected in some	78	Hepatocytes: 51864.9	Cell type enriched	Detected in single	4	hippocampal dentate gyrus: 1.3	Cancer enriched	Detected in many	325	Liver Hepatocellular Carcinoma (TCGA): 33746.8	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	9	liver cancer: 2178.7	Liver - Hepatocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB025885, HPA072575	Supported				Secreted to blood	Apolipoprotein	NA	NA	1,15E+11	60000000000	Cluster 37: Monocytes & Neutrophils - Innate immune response	Cluster 31: Liver - Plasma proteins	Cluster 12: Non-specific - Vasculature	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	27			CAB025885: , HPA072575: 	unprognostic (1.47e-1)			unprognostic (6.59e-2)	unprognostic (4.00e-1)	unprognostic (4.40e-2)					unprognostic (9.14e-2)		unprognostic (8.54e-2)	unprognostic (1.26e-1)	unprognostic (2.29e-2)	unprognostic (2.36e-1)		unprognostic (1.70e-1)				unprognostic (1.72e-2)	unprognostic (1.34e-1)		unprognostic (1.82e-1)	unprognostic (1.04e-1)	unprognostic (1.19e-1)	unprognostic (4.41e-3)	unprognostic (2.47e-1)		unprognostic (6.03e-1)
APOA5	APOA-V, RAP3	ENSG00000110243	Apolipoprotein A5	Q6Q788	11	116789367-116792420	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Lipid transport, Transport		Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	218	liver: 567.7	Cell type enriched	Detected in some	59	Hepatocytes: 1096.0	Not detected	Not detected			Cancer enriched	Detected in single	295	Liver Hepatocellular Carcinoma (TCGA): 144.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	18	liver cancer: 2.7	Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected								Secreted to blood	Apolipoprotein	NA	NA	114000000	15000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	12						unprognostic (2.77e-1)											unprognostic (7.77e-3)	unprognostic (6.47e-4)																
APOC1		ENSG00000130208	Apolipoprotein C1	P02654	19	44914247-44919349	Cancer-related genes, Candidate cardiovascular disease genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	Lipid transport, Transport		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	9	liver: 17322.1	Cell type enriched	Detected in many	8	Hepatocytes: 34314.8	Group enriched	Detected in many	6	"astrocyte: 54.1;central nervous system macrophage: 105.4"	Cancer enriched	Detected in all	15	Liver Hepatocellular Carcinoma (TCGA): 11590.2	Low region specificity	Detected in all			Immune cell enriched	Detected in single	8	myeloid DC: 5.9	Lineage enriched	Detected in single	14	dendritic cells: 5.9	Cancer enhanced	Detected in all		"Leukemia: 273.6;liver cancer: 289.3"	Liver - Hepatocytes, Lung - Macrophages, Minor Salivary Gland - Macrophages, Skin - Sebaceous gland cells, Spleen - Macrophages	Low region specificity	Detected in all							HPA051518	Supported				Secreted to blood	Apolipoprotein	NA	NA	20300000000	11000000000	Cluster 2: Dendritic cells - Unknown function	Cluster 83: Liver - Metabolism	Cluster 21: Non-specific - Metabolism	Cluster 47: Leukemia - Hemostasis	Cluster 43: Hepatocytes - Metabolism	25			HPA051518: AB_2681519	unprognostic (3.17e-1)	unprognostic (8.96e-2)	unprognostic (2.62e-1)	unprognostic (4.53e-3)	unprognostic (1.92e-2)	unprognostic (5.38e-2)	unprognostic (2.68e-1)	unprognostic (1.24e-1)	unprognostic (2.48e-1)	unprognostic (2.21e-2)	unprognostic (7.14e-3)	unprognostic (1.68e-2)	unprognostic (1.65e-2)	unprognostic (1.01e-7)	unprognostic (2.49e-5)	unprognostic (3.84e-2)	unprognostic (1.94e-3)	unprognostic (1.02e-1)	unprognostic (7.58e-2)	unprognostic (1.79e-1)	unprognostic (5.84e-2)	unprognostic (2.04e-2)	unprognostic (2.55e-1)	unprognostic (1.90e-1)	unprognostic (5.92e-3)	unprognostic (7.11e-2)	unprognostic (1.70e-1)	unprognostic (2.70e-3)	unprognostic (8.41e-2)	unprognostic (2.97e-3)	unprognostic (1.75e-1)
APOC2		ENSG00000234906	Apolipoprotein C2	P02655	19	44946035-44949565	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	Lipid degradation, Lipid metabolism, Lipid transport, Transport		Disease variant, Hyperlipidemia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	130	liver: 9320.5	Cell type enriched	Detected in some	23	Hepatocytes: 820.6	Cell type enriched	Detected in some	47	central nervous system macrophage: 326.4	Cancer enriched	Detected in all	22	Liver Hepatocellular Carcinoma (TCGA): 5671.6	Low region specificity	Detected in all			Immune cell enriched	Detected in single	29	NK-cell: 3.2	Lineage enriched	Detected in single	29	NK-cells: 3.2	Cancer enhanced	Detected in many		"Brain cancer: 55.3;Leukemia: 80.3;liver cancer: 81.2"	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Pancreas - Macrophages	Not detected	Not detected			Not detected	Not detected			HPA055877	Supported				Secreted to blood	Apolipoprotein	NA	NA	43000000000	27000000000	Cluster 14: Non-specific - Unknown function	Cluster 31: Liver - Plasma proteins	Cluster 20: Macrophages & Microglia - Immune response	Cluster 70: DU4475 - Unknown function	Cluster 62: Hepatocytes - Metabolism	3			HPA055877: AB_2682953	unprognostic (1.18e-1)	unprognostic (1.89e-1)	unprognostic (5.55e-2)	unprognostic (5.73e-2)	unprognostic (8.69e-2)	unprognostic (2.19e-2)	unprognostic (6.92e-2)	unprognostic (4.55e-1)	unprognostic (1.35e-1)	unprognostic (1.00e-1)	unprognostic (2.04e-4)	unprognostic (2.54e-2)	unprognostic (1.46e-1)	unprognostic (1.28e-2)	unprognostic (2.32e-3)	unprognostic (4.92e-2)	unprognostic (1.13e-1)	unprognostic (2.34e-1)	unprognostic (5.16e-1)	unprognostic (1.84e-1)		unprognostic (1.96e-1)		unprognostic (4.16e-1)	unprognostic (3.70e-2)	unprognostic (3.43e-2)	unprognostic (6.90e-2)	unprognostic (9.68e-2)	unprognostic (1.05e-1)	unprognostic (2.60e-2)	unprognostic (2.31e-2)
APOC3	Apo-C3, Apo-CIII, ApoC-3, ApoC-III, APOCIII	ENSG00000110245	Apolipoprotein C3	P02656	11	116829706-116833072	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	Lipid degradation, Lipid metabolism, Lipid transport, Transport		Cancer-related genes, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	25	liver: 26980.2	Cell type enriched	Detected in some	9	Hepatocytes: 87587.5	Not detected	Not detected			Cancer enriched	Detected in many	432	Liver Hepatocellular Carcinoma (TCGA): 10110.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	4	liver cancer: 40.4	Kidney - Proximal tubular cells, Liver - Hepatocytes	Low region specificity	Detected in some			Not detected	Not detected			HPA065365, HPA073918	Supported		Approved	Nucleoplasm,Nucleoli,Cell Junctions	Secreted to blood	Apolipoprotein	NA	NA	1,06E+11	27000000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	8	Nucleoplasm	Nucleoli, Cell Junctions	HPA065365: AB_2732733, HPA073918: 			unprognostic (7.06e-1)								unprognostic (7.76e-2)	unprognostic (2.55e-3)	unprognostic (3.62e-1)	unprognostic (3.08e-4)	unprognostic (3.59e-4)							unprognostic (1.55e-1)	unprognostic (1.48e-1)		unprognostic (4.96e-1)			unprognostic (2.96e-3)	unprognostic (4.05e-2)		
APOC4		ENSG00000267467	Apolipoprotein C4	P55056	19	44942237-44945496	Plasma proteins, Predicted secreted proteins	Lipid transport, Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	505	liver: 607.5	Cell type enriched	Detected in single	40	Hepatocytes: 15.2	Cell type enhanced	Detected in some		"astrocyte: 1.3;central nervous system macrophage: 3.8"	Cancer enriched	Detected in some	121	Liver Hepatocellular Carcinoma (TCGA): 406.8	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			HPA062671	Approved				Secreted to blood	Apolipoprotein	NA	NA	1000000000	810000000	Cluster 38: Monocytes & Neutrophils - Degranulation	Cluster 31: Liver - Plasma proteins	Cluster 34: Non-specific - Mixed function	Cluster 47: Leukemia - Hemostasis	Cluster 43: Hepatocytes - Metabolism	22			HPA062671: AB_2684828			unprognostic (1.19e-3)											unprognostic (7.36e-4)	unprognostic (2.57e-5)																unprognostic (1.41e-1)
APOF		ENSG00000175336	Apolipoprotein F	Q13790	12	56360568-56362857	Plasma proteins, Predicted secreted proteins	Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	346	liver: 404.0	Cell type enriched	Detected in some	5	Hepatocytes: 299.3	Not detected	Not detected			Cancer enriched	Detected in some	6	Liver Hepatocellular Carcinoma (TCGA): 36.4	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		prostate cancer: 1.0	Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Prostate glandular cells, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected												Secreted to blood	Apolipoprotein	NA	NA	18000000000	1300000000		Cluster 31: Liver - Plasma proteins	Cluster 48: Non-specific - Mixed function	Cluster 16: Thyroid cancer - Neuronal signaling	Cluster 62: Hepatocytes - Metabolism	2						unprognostic (1.17e-1)											unprognostic (4.29e-3)	unprognostic (1.23e-3)									unprognostic (1.41e-1)							
APOH	B2G1, BG	ENSG00000091583	Apolipoprotein H	P02749	17	66212033-66256525	Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Heparin-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	567	liver: 17409.3	Cell type enriched	Detected in some	29	Hepatocytes: 7848.6	Not detected	Not detected			Cancer enriched	Detected in many	213	Liver Hepatocellular Carcinoma (TCGA): 3763.9	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	46	liver cancer: 154.3	Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Pancreas - Alpha cells	Low region specificity	Detected in many			Not detected	Not detected			HPA001654, HPA003732, CAB022214	Enhanced		Supported	Golgi apparatus	Secreted to blood	Apolipoprotein	NA	NA	2,47E+11	54000000000		Cluster 31: Liver - Plasma proteins	Cluster 53: Neurons - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	9	Golgi apparatus		CAB022214: , HPA001654: AB_1078181, HPA003732: AB_1078183						unprognostic (2.16e-2)					unprognostic (1.19e-3)	unprognostic (2.24e-3)	unprognostic (5.05e-2)	unprognostic (1.28e-7)	unprognostic (4.60e-3)	unprognostic (9.89e-2)	unprognostic (1.18e-1)					unprognostic (5.62e-3)	unprognostic (1.43e-2)	unprognostic (2.31e-2)	unprognostic (1.17e-1)	unprognostic (2.49e-1)	unprognostic (1.06e-2)	unprognostic (7.57e-3)			unprognostic (1.20e-1)
APOM	Apo-M, G3a, NG20	ENSG00000204444	Apolipoprotein M	O95445	6	31652416-31658210	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Lipid transport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	4	liver: 381.2	Group enriched	Detected in many	7	"Hepatocytes: 703.0;Proximal tubular cells: 402.9"	Low cell type specificity	Detected in some			Cancer enriched	Detected in some	9	Liver Hepatocellular Carcinoma (TCGA): 70.4	Low region specificity	Detected in single			Immune cell enhanced	Detected in some		basophil: 3.0	Low lineage specificity	Detected in many			Cancer enhanced	Detected in some		liver cancer: 6.4	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in all			CAB034086, HPA051006	Approved		Approved	Golgi apparatus	Secreted to blood	Apolipoprotein	NA	NA	7400000000	5000000000	Cluster 32: Basophils - Transcription	Cluster 1: Liver & Kidney - Metabolism	Cluster 25: Non-specific - Transcription	Cluster 18: Liver cancer - Metabolism	Cluster 56: Proximal tubular cells - Amino acid metabolism	14	Golgi apparatus		CAB034086: AB_1119033, HPA051006: AB_2681307			unprognostic (1.31e-1)				unprognostic (1.76e-1)	unprognostic (1.07e-1)			unprognostic (5.08e-6)	unprognostic (4.39e-6)	unprognostic (6.89e-2)	unprognostic (4.41e-1)	unprognostic (4.40e-3)						unprognostic (2.17e-1)		unprognostic (6.72e-2)						unprognostic (3.81e-1)		
ASGR1	CLEC4H1	ENSG00000141505	Asialoglycoprotein receptor 1	P07306	17	7173431-7179564	Predicted intracellular proteins, Predicted secreted proteins	Endocytosis, Host-virus interaction	Receptor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	41	liver: 1065.6	Cell type enriched	Detected in many	4	Hepatocytes: 976.9	Cell type enhanced	Detected in many		cerebellar inhibitory: 37.7	Cancer enriched	Detected in all	61	Liver Hepatocellular Carcinoma (TCGA): 419.8	Low region specificity	Detected in all			Group enriched	Detected in many	5	"classical monocyte: 115.4;intermediate monocyte: 55.6;myeloid DC: 41.2"	Group enriched	Detected in many	8	"dendritic cells: 41.2;monocytes: 115.4"	Cancer enriched	Detected in many	11	liver cancer: 80.4	Testis - Early spermatids, Testis - Late spermatids	Region enriched	Detected in all	9	cerebellum: 44.1	Not detected	Not detected			HPA011954, HPA012852	Enhanced		Supported	Vesicles,Cell Junctions	Secreted to blood	Receptor	NA	NA	1710000	110000	Cluster 26: Monocytes - Plasma membrane proteins	Cluster 31: Liver - Plasma proteins	Cluster 2: Neurons - Nucleosome	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	31	Vesicles	Cell Junctions	HPA011954: AB_1845079, HPA012852: AB_1845080	unprognostic (1.02e-1)	unprognostic (4.73e-3)	unprognostic (3.01e-1)	unprognostic (1.52e-1)	unprognostic (2.05e-1)	unprognostic (4.73e-2)	unprognostic (6.00e-2)		unprognostic (3.63e-2)	unprognostic (1.52e-2)	unprognostic (6.16e-11)	unprognostic (5.14e-2)	unprognostic (2.09e-2)	unprognostic (6.61e-3)	unprognostic (9.46e-4)	unprognostic (8.94e-3)	unprognostic (1.82e-1)	unprognostic (7.29e-2)	unprognostic (3.19e-2)	unprognostic (1.50e-1)	unprognostic (9.38e-2)	unprognostic (4.70e-3)		unprognostic (1.53e-1)	unprognostic (1.74e-1)	unprognostic (1.34e-1)	unprognostic (8.28e-3)	unprognostic (2.08e-1)	unprognostic (8.05e-2)	unprognostic (4.43e-4)	unprognostic (4.19e-2)
BCHE	CHE1, CHE2, E1	ENSG00000114200	Butyrylcholinesterase	P06276	3	165772904-165837462	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Hydrolase, Serine esterase	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	13	liver: 508.2	Group enriched	Detected in many	7	"Hepatocytes: 505.6;Mesothelial cells: 169.6;Oligodendrocyte precursor cells: 197.2"	Cell type enhanced	Detected in many		"committed oligodendrocyte precursor: 92.9;oligodendrocyte precursor cell: 269.3"	Group enriched	Detected in many	5	"Glioblastoma Multiforme (TCGA): 59.0;Kidney Renal Papillary Cell Carcinoma (TCGA): 15.3;Liver Hepatocellular Carcinoma (TCGA): 35.2;Skin Cuteneous Melanoma (TCGA): 33.0"	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Fibroblasts, Pituitary gland - Corticotropes, Prostate - Smooth muscle cells, Testis - Early spermatids	Low region specificity	Detected in all							HPA001560	Approved				Secreted to blood	Enzyme	NA	NA	3820000000	5500000000		Cluster 83: Liver - Metabolism	Cluster 13: Oligodendrocytes - Mixed function	Cluster 51: Myeloma - Immunoglobulins	Cluster 43: Hepatocytes - Metabolism	8			HPA001560: AB_1078271	unprognostic (1.09e-1)	unprognostic (9.17e-2)	unprognostic (3.03e-2)				unprognostic (3.77e-2)	unprognostic (1.90e-1)	unprognostic (7.60e-5)		unprognostic (6.00e-2)	unprognostic (1.70e-3)	unprognostic (3.54e-1)	unprognostic (1.46e-1)	unprognostic (4.73e-3)	unprognostic (1.26e-1)	unprognostic (5.23e-2)	unprognostic (1.30e-1)	unprognostic (1.65e-1)	unprognostic (8.93e-2)		unprognostic (4.44e-2)	unprognostic (3.94e-1)	unprognostic (1.06e-1)		unprognostic (7.71e-2)	unprognostic (2.72e-2)	unprognostic (1.60e-3)	unprognostic (1.01e-2)	unprognostic (5.93e-2)	unprognostic (1.65e-2)
